W1100X499;8228250.0;2798.724489795918;
W1100X433;7172549.999999999;2439.642857142857;
W1100X390;6458399.999999999;2196.734693877551;
W1100X343;5588999.999999999;1901.020408163265;
W1000X976;15680250.0;5333.418367346939;
W1000X883;14034599.999999998;4773.673469387754;
W1000X748;11798999.999999998;4013.2653061224482;
W1000X642;9967050.0;3390.1530612244896;
W1000X591;9159750.0;3115.561224489796;
W1000X554;8538750.0;2904.3367346938776;
W1000X539;8352450.0;2840.969387755102;
W1000X483;7420949.999999999;2524.132653061224;
W1000X443;6768899.999999999;2302.34693877551;
W1000X412;6365249.999999999;2165.051020408163;
W1000X371;5713199.999999999;1943.2653061224485;
W1000X321;4905900.0;1668.673469387755;
W1000X296;4409100.0;1499.6938775510205;
W1000X584;8694000.0;2957.1428571428573;
W1000X494;7265699.999999999;2471.3265306122444;
W1000X486;7172549.999999999;2439.642857142857;
W1000X438;6458399.999999999;2196.734693877551;
W1000X415;6054749.999999999;2059.438775510204;
W1000X393;5744249.999999999;1953.8265306122448;
W1000X350;5154300.0;1753.1632653061224;
W1000X314;4595400.0;1563.061224489796;
W1000X272;3943350.0;1341.2755102040815;
W1000X249;3539699.9999999995;1203.9795918367345;
W1000X222;3042899.9999999995;1034.9999999999998;
W920X1377;21020850.0;7149.948979591836;
W920X1269;19934100.0;6780.306122448979;
W920X1194;18630000.0;6336.734693877551;
W920X1077;16642800.0;5660.816326530612;
W920X970;14810849.999999998;5037.704081632653;
W920X787;11861099.999999998;4034.3877551020405;
W920X725;10836450.0;3685.8673469387754;
W920X656;9718650.0;3305.663265306122;
W920X588;8694000.0;2957.1428571428573;
W920X537;7886700.0;2682.551020408163;
W920X491;7172549.999999999;2439.642857142857;
W920X449;6520499.999999999;2217.8571428571427;
W920X420;6054749.999999999;2059.438775510204;
W920X390;5588999.999999999;1901.020408163265;
W920X368;5247450.0;1784.8469387755104;
W920X344;4905900.0;1668.673469387755;
W920X381;5278500.0;1795.408163265306;
W920X345;4750650.0;1615.8673469387754;
W920X313;4253850.0;1446.887755102041;
W920X289;3912300.0;1330.7142857142858;
W920X271;3663899.9999999995;1246.2244897959183;
W920X253;3384449.9999999995;1151.173469387755;
W920X238;3167099.9999999995;1077.2448979591836;
W920X223;2955959.9999999995;1005.4285714285713;
W920X201;2589570.0;880.8061224489796;
W840X576;7948800.0;2703.673469387755;
W840X527;7234649.999999999;2460.7653061224487;
W840X473;6458399.999999999;2196.734693877551;
W840X433;5899499.999999999;2006.6326530612241;
W840X392;5278500.0;1795.408163265306;
W840X359;4781700.0;1626.4285714285716;
W840X329;4347000.0;1478.5714285714287;
W840X299;3943350.0;1341.2755102040815;
W840X251;3198149.9999999995;1087.8061224489795;
W840X226;2844179.9999999995;967.408163265306;
W840X210;2614410.0;889.2551020408164;
W840X193;2375325.0;807.9336734693877;
W840X176;2111400.0;718.1632653061224;
W760X582;7389899.999999999;2513.5714285714284;
W760X531;6706799.999999999;2281.224489795918;
W760X484;6054749.999999999;2059.438775510204;
W760X434;5402700.0;1837.6530612244899;
W760X389;4812750.0;1636.9897959183675;
W760X350;4315950.0;1468.0102040816325;
W760X314;3819150.0;1299.0306122448978;
W760X284;3446549.9999999995;1172.2959183673468;
W760X257;3089474.9999999995;1050.8418367346937;
W760X220;2542995.0;864.9642857142857;
W760X196;2223180.0;756.1836734693878;
W760X185;2077245.0;706.5459183673469;
W760X173;1921995.0;653.7397959183673;
W760X161;1760534.9999999998;598.8214285714286;
W760X147;1586654.9999999998;539.6785714285713;
W760X134;1440719.9999999998;490.0408163265305;
W690X802;9625500.0;3273.979591836735;
W690X548;6303149.999999999;2143.928571428571;
W690X500;5744249.999999999;1953.8265306122448;
W690X457;5247450.0;1784.8469387755104;
W690X419;4750650.0;1615.8673469387754;
W690X384;4347000.0;1478.5714285714287;
W690X350;3943350.0;1341.2755102040815;
W690X323;3632849.9999999995;1235.6632653061222;
W690X289;3198149.9999999995;1087.8061224489795;
W690X265;2900069.9999999995;986.4183673469386;
W690X240;2620620.0;891.3673469387754;
W690X217;2359800.0;802.6530612244898;
W690X192;2008935.0;683.3112244897959;
W690X170;1745009.9999999998;593.5408163265305;
W690X152;1552499.9999999998;528.0612244897958;
W690X140;1415879.9999999998;481.59183673469374;
W690X125;1242000.0;422.4489795918367;
W610X551;5744249.999999999;1953.8265306122448;
W610X498;5185350.0;1763.7244897959185;
W610X455;4688550.0;1594.7448979591836;
W610X415;4253850.0;1446.887755102041;
W610X372;3788100.0;1288.4693877551022;
W610X341;3446549.9999999995;1172.2959183673468;
W610X307;3083264.9999999995;1048.7295918367347;
W610X285;2844179.9999999995;967.408163265306;
W610X262;2598885.0;883.9744897959184;
W610X241;2381535.0;810.045918367347;
W610X217;2126925.0;723.4438775510205;
W610X195;1881629.9999999998;640.0102040816325;
W610X174;1664279.9999999998;566.0816326530611;
W610X155;1471769.9999999998;500.60204081632645;
W610X153;1425194.9999999998;484.76020408163254;
W610X140;1291680.0;439.34693877551024;
W610X125;1139535.0;387.59693877551024;
W610X113;1018440.0;346.40816326530614;
W610X101;900449.9999999999;306.27551020408157;
W610X92;585543.1999933288;199.16435373922747;
W610X82;491559.62924497045;167.19715280441173;
W530X409;3819150.0;1299.0306122448978;
W530X369;3415499.9999999995;1161.7346938775509;
W530X332;3058424.9999999995;1040.2806122448976;
W530X300;2698245.0;917.7704081632653;
W530X272;2421900.0;823.7755102040817;
W530X248;2198340.0;747.7346938775511;
W530X219;1897155.0;645.2908163265306;
W530X196;1695329.9999999998;576.6428571428571;
